variant,spec,family,outcome,coef,se,t,p,ivf,nobs,n_clusters,first_stage_F_lookup,tF_cv,ci95_low_tF,ci95_high_tF,reject_tF_5pct
adversarial,baseline_state_fe,primary,delta_runnerup_vote_share_2024_2020,-0.0307022105349575,0.0216955600154087,-1.41513795970936,0.157170486129569,238.938018691673,5560,2187,19.5847009415239,2.18245897175428,-0.0780518801378197,0.0166474590679047,FALSE
adversarial,baseline_state_fe,primary,delta_margin_top1_top2_2024_2020,0.0619414702498581,0.0431026561942107,1.43706851779074,0.150841635963801,238.938018691673,5560,2187,19.5847009415239,2.18245897175428,-0.0321283084676373,0.156011248967354,FALSE
adversarial,baseline_state_fe,secondary,delta_winner_vote_share_2024_2020,0.0312392597148986,0.0250859629151536,1.24528844360318,0.213159209024899,238.938018691673,5560,2187,19.5847009415239,2.18245897175428,-0.0235098251143736,0.0859883445441708,FALSE
adversarial,baseline_state_fe,secondary,delta_winner_majority_2024_2020,0.139840635302333,0.090333100252945,1.54805530764205,0.121753732526613,238.938018691673,5560,2187,19.5847009415239,2.18245897175428,-0.057307649791086,0.336988920395752,FALSE
adversarial,baseline_state_fe,secondary,delta_others_vote_share_2024_2020,-0.00476024893202051,0.0186255441367144,-0.25557636851195,0.798302012446337,238.938018691673,5560,2187,19.5847009415239,2.18245897175428,-0.0454097348369982,0.0358892369729572,FALSE
adversarial,baseline_state_fe,secondary,delta_log1p_n_candidates_with_votes_2024_2020,-0.0663919918830048,0.0393451262145681,-1.68742607460291,0.0916641148271239,238.938018691673,5560,2187,19.5847009415239,2.18245897175428,-0.152261115584794,0.019477131818784,FALSE
adversarial,baseline_state_fe,composition,delta_female_vote_share_2024_2020,-0.0929229626866587,0.0478838298535392,-1.94059169809264,0.0524362388704104,238.938018691673,5560,2187,19.5847009415239,2.18245897175428,-0.197427456752471,0.0115815313791535,FALSE
adversarial,baseline_state_fe,composition,delta_nonwhite_vote_share_2024_2020,-0.0394206706352981,0.0420153470187981,-0.938244556629767,0.348222395604253,238.938018691673,5560,2187,19.5847009415239,2.18245897175428,-0.131117441687844,0.0522761004172475,FALSE
adversarial,baseline_state_fe,composition,delta_new_candidate_vote_share_2024_2020,-0.00954279411548722,0.0499151480038838,-0.191180322950154,0.848402073489046,238.938018691673,5560,2187,19.5847009415239,2.18245897175428,-0.118480556703006,0.099394968472032,FALSE
adversarial,baseline_state_fe,composition,delta_incumbent_candidate_vote_share_2024_2020,0.00962732083543927,0.049024714235725,0.196376888382221,0.844333438287315,238.938018691673,5560,2187,19.5847009415239,2.18245897175428,-0.0973671065860087,0.116621748256887,FALSE
adversarial,baseline_state_fe,composition,delta_winner_is_female_2024_2020,-0.122878816633703,0.0632247440611334,-1.94352414483306,0.0520810476725742,238.938018691673,5560,2187,19.5847009415239,2.18245897175428,-0.260864226546792,0.0151065932793856,FALSE
adversarial,baseline_state_fe,composition,delta_winner_is_new_vs_2020_2024_2020,-0.00162955218531574,0.0733253096128005,-0.0222235977443629,0.982271622233599,238.938018691673,5560,2187,19.5847009415239,2.18245897175428,-0.161659032006433,0.158399927635801,FALSE
adversarial,baseline_state_fe,voter_behavior,delta_turnout_rate_2024_2020,-0.00630390524172941,0.00475254571429159,-1.32642706050626,0.184836836938172,238.938018691673,5560,2187,19.5847009415239,2.18245897175428,-0.0166761412745575,0.00406833079109864,FALSE
adversarial,baseline_state_fe,voter_behavior,delta_null_rate_2024_2020,0.00727060178863846,0.00592172406643014,1.2277846294553,0.219660015182208,238.938018691673,5560,2187,19.5847009415239,2.18245897175428,-0.00565331802839525,0.0201945216056722,FALSE
